Name,Hispanic,API,Black,AIAN,White,race,freq
smith,0.0026,0.0024,0.1069,0.0059,0.8815,White,0.01302
jones,0.003,0.0023,0.2086,0.0066,0.7786,White,0.01032
taylor,0.0018,0.0007,0.091,0.0018,0.9041,White,0.00817
williams,0.0044,0.0019,0.2924,0.0053,0.6948,White,0.00734
brown,0.0027,0.0032,0.1623,0.0069,0.824,White,0.00679
davies,0.0007,0.0015,0.2348,0,0.763,White,0.00566
evans,0.0003,0.0005,0.7657,0,0.2334,Black,0.00414
wilson,0.0166,0.0164,0.1279,0.0056,0.832,White,0.00406
thomas,0.0024,0.0075,0.125,0.0026,0.8618,White,0.00393
roberts,0.003,0.0018,0.0585,0.0037,0.9323,White,0.00392
johnson,0.003,0.0084,0.2219,0.0057,0.7598,White,0.00384
lewis,0.0026,0.0018,0.1473,0.0035,0.8441,White,0.00354
walker,0.0022,0.001,0.1406,0.0033,0.8521,White,0.00349
robinson,0.0179,0.0071,0.2893,0.0032,0.6807,White,0.00335
wood,0.0015,0.0037,0.019,0.004,0.9713,White,0.00333
thompson,0.002,0.004,0.1237,0.0069,0.8625,White,0.00327
white,0.0024,0.002,0.0823,0.0185,0.8939,White,0.00325
watson,0.0024,0.0048,0.1399,0.0053,0.8467,White,0.00324
jackson,0.0028,0.0036,0.2748,0.0047,0.7128,White,0.00309
wright,0.002,0.0023,0.1264,0.005,0.8636,White,0.00307
green,0.0021,0.003,0.1259,0.0057,0.8624,White,0.00297
harris,0.0035,0.0077,0.1873,0.0033,0.7961,White,0.00288
cooper,0.0016,0.0009,0.0798,0.0021,0.9151,White,0.00288
king,0.0044,0.0251,0.0969,0.0059,0.866,White,0.00287
lee,0.0019,0.438,0.055,0.0028,0.5014,White,0.00285
martin,0.0361,0.0041,0.0396,0.0024,0.9173,White,0.00273
clarke,0.0031,0.0017,0.1084,0.0011,0.885,White,0.00272
james,0.003,0.0034,0.1552,0.007,0.8305,White,0.00272
morgan,0.0017,0.0006,0.0484,0.0025,0.9464,White,0.00268
hughes,0.0025,0.0022,0.0654,0.0036,0.9256,White,0.00264
edwards,0.0037,0.0022,0.1449,0.0046,0.8436,White,0.00264
hill,0.0033,0.0047,0.112,0.0146,0.8645,White,0.0026
moore,0.0026,0.0018,0.1296,0.0046,0.8605,White,0.00258
clark,0.003,0.0021,0.0535,0.0023,0.9387,White,0.00251
harrison,0.0023,0.0032,0.1036,0.0057,0.8845,White,0.00245
scott,0.0012,0.0007,0.0892,0.0025,0.9058,White,0.0024
young,0.0023,0.1894,0.0719,0.0039,0.7313,White,0.00235
morris,0.0027,0.0019,0.0932,0.0032,0.8983,White,0.00235
hall,0.0019,0.0029,0.0802,0.0039,0.9105,White,0.00232
ward,0.0014,0.0011,0.0492,0.0021,0.9457,White,0.00224
turner,0.0012,0.0011,0.117,0.0021,0.878,White,0.00224
carter,0.0016,0.0014,0.1234,0.0021,0.8708,White,0.00222
phillips,0.0023,0.0029,0.0768,0.0044,0.9129,White,0.00218
mitchell,0.0025,0.0011,0.0991,0.0026,0.894,White,0.00218
patel,0,0.9992,0,0,0.0007,API,0.00214
campbell,0.0017,0.0015,0.0751,0.0036,0.9174,White,0.00207
adams,0.0032,0.0035,0.1103,0.0039,0.8777,White,0.00207
anderson,0.0056,0.0046,0.0854,0.0036,0.8999,White,0.00206
allen,0.003,0.0032,0.0852,0.0022,0.9057,White,0.00202
cook,0.002,0.0037,0.0422,0.0057,0.9457,White,0.00199
bailey,0.0015,0.0006,0.0591,0.0013,0.937,White,0.00198
miller,0.0025,0.002,0.0394,0.0033,0.9523,White,0.00196
parker,0.0013,0.0008,0.0736,0.0021,0.9217,White,0.00196
davis,0.0031,0.0048,0.135,0.0033,0.8529,White,0.00193
murphy,0.0025,0.0034,0.0452,0.0036,0.9448,White,0.0019
bell,0.0061,0.0051,0.1182,0.0052,0.8644,White,0.00189
price,0.0015,0.0014,0.076,0.0027,0.9178,White,0.00189
baker,0.0018,0.005,0.0473,0.0047,0.9395,White,0.00187
griffiths,0.0019,0.0022,0.0077,0.0002,0.9878,White,0.00186
kelly,0.0022,0.0018,0.0381,0.0011,0.9564,White,0.00183
simpson,0.0041,0.0062,0.0986,0.0039,0.8862,White,0.0018
marshall,0.0017,0.0011,0.0974,0.0022,0.897,White,0.00174
collins,0.0002,0.0005,0.6822,0,0.3171,Black,0.0017
bennett,0.002,0.0019,0.0515,0.0024,0.9416,White,0.00169
cox,0.0021,0.0022,0.0366,0.0047,0.9539,White,0.00166
richardson,0.0059,0.0036,0.2203,0.0053,0.7636,White,0.00165
fox,0.002,0.0055,0.0139,0.0063,0.9718,White,0.00165
gray,0.002,0.0018,0.08,0.0045,0.911,White,0.00162
rose,0.0087,0.0043,0.0346,0.0017,0.95,White,0.00159
chapman,0.0025,0.005,0.0472,0.0037,0.9409,White,0.00158
hunt,0.0017,0.0028,0.0473,0.0194,0.9283,White,0.00155
robertson,0.0078,0.0071,0.0978,0.0056,0.8807,White,0.00154
shaw,0.0015,0.0251,0.0711,0.0026,0.8987,White,0.00154
reynolds,0.0034,0.0017,0.0623,0.0018,0.9302,White,0.00153
lloyd,0.0028,0.0026,0.0782,0.001,0.9148,White,0.00152
ellis,0.0029,0.0021,0.1006,0.0018,0.892,White,0.00152
richards,0.0022,0.0026,0.0558,0.0049,0.9338,White,0.00149
wilkinson,0.0026,0.0028,0.0177,0.0014,0.9749,White,0.00148
russell,0.0017,0.0011,0.0444,0.0021,0.9501,White,0.00148
khan,0.0005,0.9732,0.0021,0.0003,0.0131,API,0.00144
graham,0.0011,0.0008,0.0706,0.0018,0.9252,White,0.00143
stewart,0.0019,0.0014,0.0774,0.0021,0.9167,White,0.00141
reid,0.0017,0.0015,0.096,0.0013,0.8988,White,0.00141
powell,0.0023,0.0022,0.1026,0.0024,0.8898,White,0.00138
murray,0.0014,0.0009,0.055,0.0015,0.9409,White,0.00138
palmer,0.0029,0.0014,0.0655,0.0025,0.9273,White,0.00136
rogers,0.0025,0.002,0.0824,0.0032,0.9093,White,0.00134
holmes,0.0057,0.002,0.1627,0.0061,0.8225,White,0.00134
stevens,0.0061,0.0042,0.0572,0.0071,0.9245,White,0.00133
walsh,0.0026,0.0028,0.0037,0.0008,0.9896,White,0.00131
hunter,0.0014,0.0007,0.1063,0.0025,0.8885,White,0.00129
thomson,0.0024,0.0213,0.0191,0.002,0.9544,White,0.00128
matthews,0.0027,0.0006,0.4518,0,0.5449,White,0.00127
ross,0.0027,0.0015,0.0598,0.0019,0.9336,White,0.00125
owen,0.002,0.0026,0.0062,0.0019,0.987,White,0.00125
knight,0.0022,0.0033,0.0535,0.0074,0.9327,White,0.00125
mason,0.0022,0.0013,0.0723,0.0017,0.9218,White,0.00125
kennedy,0.0029,0.0026,0.0784,0.002,0.9135,White,0.00124
butler,0.0016,0.0019,0.145,0.0057,0.845,White,0.00124
saunders,0.0031,0.0038,0.1182,0.0049,0.8691,White,0.00123
cole,0.0012,0.0006,0.0463,0.0015,0.95,White,0.00123
pearce,0.0012,0.0018,0.0143,0.0021,0.9802,White,0.00123
dean,0.0019,0.0029,0.0395,0.0013,0.9538,White,0.00122
foster,0.0022,0.0022,0.1337,0.0029,0.8582,White,0.00121
harvey,0.0039,0.0028,0.0831,0.0043,0.9053,White,0.0012
hudson,0.0022,0.0021,0.0959,0.0026,0.8964,White,0.00119
gibson,0.004,0.0035,0.1107,0.0043,0.8766,White,0.00119
mills,0.0027,0.0016,0.0586,0.0031,0.9334,White,0.00118
berry,0.0024,0.0029,0.0881,0.0025,0.9033,White,0.00116
pearson,0.002,0.0033,0.1076,0.0019,0.8846,White,0.00115
barnes,0.0018,0.0015,0.1428,0.0033,0.8497,White,0.00115
kaur,0.0001,0.9957,0,0,0.0042,API,0.00115
booth,0.0019,0.0012,0.0259,0.0025,0.968,White,0.00113
grant,0.0016,0.0013,0.1162,0.0027,0.8775,White,0.00113
dixon,0.0072,0.0083,0.1496,0.004,0.8297,White,0.00113
gordon,0.0015,0.0026,0.0873,0.0018,0.9062,White,0.00112
lane,0.0013,0.001,0.0447,0.0029,0.9496,White,0.00111
